t	T	P
0.0	88.4652981427175	98748.77810361682
0.07400012016296387	88.4652981427175	98748.77810361682
0.14800000190734863	88.4652981427175	98748.77810361682
0.21700024604797363	88.4652981427175	98748.77810361682
0.27900004386901855	88.4652981427175	98748.77810361682
0.34400010108947754	88.4652981427175	98748.77810361682
0.4100000858306885	88.4652981427175	98748.77810361682
0.47500014305114746	88.4652981427175	98748.77810361682
0.5410001277923584	88.4652981427175	98748.77810361682
0.6060001850128174	88.4652981427175	98748.77810361682
0.6719999313354492	88.4652981427175	98748.77810361682
0.7370002269744873	88.4652981427175	98748.77810361682
0.7990000247955322	88.4652981427175	98748.77810361682
0.8600001335144043	88.4652981427175	98748.77810361682
0.9260001182556152	88.4652981427175	98748.77810361682
0.9910001754760742	88.4652981427175	98748.77810361682
1.0530002117156982	88.4652981427175	98748.77810361682
1.1180002689361572	88.4652981427175	98748.77810361682
1.184000015258789	88.4652981427175	98748.77810361682
1.2490003108978271	88.4652981427175	98748.77810361682
1.315000057220459	88.4652981427175	98748.77810361682
1.380000114440918	88.4652981427175	98748.77810361682
1.446000099182129	88.4652981427175	98748.77810361682
1.507000207901001	88.4652981427175	98748.77810361682
1.573000192642212	88.4652981427175	98748.77810361682
1.638000249862671	88.4652981427175	98748.77810361682
1.7039999961853027	88.4652981427175	98748.77810361682
1.7690002918243408	88.4652981427175	98748.77810361682
1.8310000896453857	88.4652981427175	98748.77810361682
1.8970003128051758	88.4652981427175	98748.77810361682
1.9620001316070557	88.4652981427175	98748.77810361682
2.0270001888275146	88.4652981427175	98748.77810361682
2.0930001735687256	88.4652981427175	98748.77810361682
2.1590001583099365	88.4652981427175	98748.77810361682
2.2239999771118164	88.4652981427175	98748.77810361682
2.2900002002716064	88.4652981427175	98748.77810361682
2.3550000190734863	88.4652981427175	98748.77810361682
2.4210002422332764	88.4652981427175	98748.77810361682
2.4860000610351562	88.4652981427175	98748.77810361682
2.552000045776367	88.4652981427175	98748.77810361682
2.6170003414154053	88.4652981427175	98748.77810361682
2.683000087738037	88.4652981427175	98748.77810361682
2.748000144958496	88.4652981427175	98748.77810361682
2.814000129699707	88.4652981427175	98748.77810361682
2.879000186920166	88.4652981427175	98748.77810361682
2.945000171661377	88.4652981427175	98748.77810361682
3.010000228881836	88.4652981427175	98748.77810361682
3.0759999752044678	88.4652981427175	98748.77810361682
3.142000198364258	88.4652981427175	98748.77810361682
3.2070000171661377	88.4652981427175	98748.77810361682
3.2730002403259277	88.4652981427175	98748.77810361682
3.3380000591278076	88.4652981427175	98748.77810361682
3.4040000438690186	88.4652981427175	98748.77810361682
3.4690003395080566	88.4652981427175	98748.77810361682
3.5310001373291016	88.4652981427175	98748.77810361682
3.5959999561309814	88.4652981427175	98748.77810361682
3.6620001792907715	88.4652981427175	98748.77810361682
3.7269999980926514	88.4652981427175	98748.77810361682
