t	F
0.0	0.0
0.30391407012939453	0.0
0.6079652309417725	0.0
0.9279818534851074	0.0
1.232069969177246	-0.03
1.551934003829956	-6.2
1.8559532165527344	-8.87
2.1599059104919434	-2.55
2.463792085647583	-0.13
2.7838735580444336	1.65
3.0879228115081787	5.56
3.4076545238494873	5.6
3.7116243839263916	0.94
4.031238794326782	0.0
4.351558208465576	0.0
4.655363321304321	0.0
4.959425210952759	0.0
5.247547626495361	0.0
5.567317962646484	0.0
5.871434688568115	0.0
6.1753621101379395	0.0
6.463237047195435	0.0
6.783192873001099	0.0
7.087273359298706	0.0
7.407149791717529	0.0
7.7110676765441895	0.0
8.014907598495483	0.0
8.319084167480469	0.0
8.639004230499268	0.0
8.943057298660278	0.0
9.247124671936035	0.0
9.550836563110352	0.0
9.838866710662842	0.0
