0.994	516.0
0.1	0.0
0.2	0.0
0.301	0.0
0.401	914.0
0.501	0.0
0.602	0.0
0.702	0.0
0.802	915.0
0.903	0.0
1.003	911.0
1.103	0.0
1.204	595.0
1.304	0.0
1.404	118.0
1.505	0.0
1.605	908.0
1.705	0.0
1.806	0.0
1.906	0.0
2.007	0.0
2.107	912.0
2.208	0.0
2.309	909.0
2.409	0.0
2.509	0.0
2.61	914.0
2.71	0.0
2.81	916.0
2.911	916.0
3.011	917.0
3.111	917.0
3.212	916.0
3.313	915.0
3.414	915.0
3.514	915.0
3.614	915.0
3.715	914.0
3.815	914.0
3.915	914.0
4.016	914.0
4.117	915.0
4.217	846.0
4.318	416.0
4.418	522.0
4.518	535.0
4.619	511.0
4.719	529.0
4.819	507.0
4.92	523.0
5.021	514.0
5.122	515.0
