t	d
0.0	0.0
0.22312116622924805	0.0
0.4507622718811035	0.0
0.6734433174133301	0.0
0.900515079498291	0.0
1.1310350894927979	0.0
1.3505291938781738	0.0
1.5808401107788086	0.0
1.8006112575531006	0.0
2.031209707260132	0.0
2.251060962677002	0.0
2.481384038925171	0.0
2.7017056941986084	0.0
2.932209014892578	0.0
3.1519479751586914	0.0
3.3817667961120605	0.0
3.602421522140503	0.0
3.831927537918091	0.0
4.052257299423218	0.0
4.282033920288086	0.0
4.511878252029419	0.0
4.732641220092773	0.0
4.9539172649383545	0.0
5.1845057010650635	0.0
5.404929161071777	0.0
5.63467001914978	0.0
5.865090370178223	0.0
